TimeStamp,Angular Velocity X,Angular Velocity Y,Angular Velocity Z,Position X,Position Y,Position Z,Right Eye Position X,Right Eye Position Y,Right Eye Position Z,Left Eye Position X,Left Eye Position Y,Left Eye Position Z,Center Eye Position X,Center Eye Position Y,Center Eye Position Z,Center Eye Rotation X,Center Eye Rotation Y,Center Eye Rotation Z,Center Eye Rotation W,Left Eye Rotation X,Left Eye Rotation Y,Left Eye Rotation Z,Left Eye Rotation W,Right Eye Rotation X,Right Eye Rotation Y,Right Eye Rotation Z,Right Eye Rotation W
36.909893,3.7936215,-44.459232,-2.329933,-0.3924242,0.44750127,-0.2436717,-0.36708435,0.47406787,-0.20802109,-0.41979843,0.46676177,-0.18099117,-0.3930628,0.46509638,-0.19584772,0.2890181,0.22745632,0.0033331858,0.9299038,0.3288512,0.23148939,0.010007779,0.915516,0.3249798,0.22286113,0.01522378,0.91896087
36.925034,-7.093718,-56.04073,-2.4466195,-0.3924242,0.44750127,-0.2436717,-0.36582407,0.47126323,-0.20247991,-0.4189072,0.46397358,-0.17617774,-0.39196447,0.46229753,-0.19065405,0.28818733,0.22047427,0.004959317,0.93183404,0.32810068,0.2244558,0.011335425,0.9175191,0.3242284,0.21580952,0.016572885,0.9208843
36.945274,-7.728176,-29.625668,20.112587,-0.3924242,0.44750127,-0.2436717,-0.36565346,0.4725255,-0.19650228,-0.41895616,0.46492884,-0.17073643,-0.39185208,0.46340576,-0.18492559,0.28610006,0.21662402,0.009476706,0.93334395,0.32609704,0.22042748,0.015692644,0.9191441,0.32218516,0.21177362,0.020927064,0.92244816
36.95829,26.293262,-26.566013,-46.288303,-0.3924242,0.44750127,-0.2436717,-0.36214173,0.47494885,-0.19503312,-0.4156558,0.4670431,-0.16980405,-0.38839477,0.46567437,-0.18370533,0.2899913,0.21227026,0.006079589,0.93317175,0.3299525,0.21621558,0.012092709,0.91882306,0.3260908,0.20756392,0.017381001,0.92210615
36.975403,16.653337,-3.840127,4.7090797,-0.38342956,0.4552405,-0.2114941,-0.36023596,0.4746448,-0.19128865,-0.41381964,0.46716097,-0.1660787,-0.38659593,0.46559012,-0.18003167,0.29215825,0.21192317,0.007430018,0.9325647,0.33209798,0.21580441,0.013416716,0.91812813,0.32822585,0.20717055,0.01872679,0.92141056
36.99129,17.09805,17.679075,3.7258527,-0.3825966,0.456133,-0.20609343,-0.35748595,0.4753414,-0.18807751,-0.41098472,0.46767944,-0.16274095,-0.38379973,0.46620375,-0.17677945,0.29427603,0.21434113,0.007697983,0.9313432,0.334167,0.21819885,0.013778632,0.9168051,0.33028877,0.20958564,0.019098515,0.9201186
37.00684,15.013659,35.20874,4.280007,-0.3825966,0.456133,-0.20609343,-0.35521913,0.47645018,-0.18412647,-0.40852442,0.46861842,-0.15843649,-0.38143808,0.46723312,-0.17267354,0.29608163,0.21894284,0.007269527,0.9297026,0.33590615,0.22280303,0.013540328,0.91506416,0.3320233,0.21421178,0.018857978,0.9184325
37.022823,3.0570917,-14.101217,11.265536,-0.3825966,0.456133,-0.20609343,-0.35389322,0.47769845,-0.17999901,-0.40727428,0.4696774,-0.15452561,-0.38012785,0.46838927,-0.16865708,0.29611877,0.21757565,0.009406109,0.9299925,0.33596462,0.22134736,0.015615878,0.91536283,0.33206308,0.2127603,0.020939713,0.91871035
37.039486,3.0665836,-14.145164,11.300408,-0.3825966,0.456133,-0.20609343,-0.35252103,0.47901687,-0.17570698,-0.4059797,0.47079757,-0.15046054,-0.37877133,0.46961132,-0.16448136,0.29615554,0.21614443,0.011640301,0.9302892,0.33602333,0.21982351,0.017786214,0.9156689,0.33210236,0.21124084,0.023116551,0.9189945
37.056263,13.795237,68.04287,17.079346,-0.3767411,0.45989764,-0.1889193,-0.34601596,0.48157984,-0.17374094,-0.3989975,0.4730116,-0.14761989,-0.37202635,0.4720073,-0.16210558,0.2975937,0.22611709,0.011452149,0.92745775,0.3373546,0.22977778,0.01802123,0.9127262,0.33341315,0.22122978,0.023323534,0.9161599
37.07278,20.710846,16.12681,0.39286867,-0.374692,0.46109873,-0.18483016,-0.34481767,0.4831981,-0.17027697,-0.39769262,0.47445953,-0.14399686,-0.37077746,0.47354844,-0.15859227,0.30037415,0.22825406,0.0114878435,0.92603636,0.34007546,0.23189929,0.018135926,0.9111763,0.33613202,0.22337537,0.023455147,0.91464114
37.08916,10.57183,9.968127,-7.7686963,-0.37340087,0.4622536,-0.18048388,-0.34236935,0.48338926,-0.16646673,-0.39519417,0.47465685,-0.14008403,-0.36831582,0.47374618,-0.15474716,0.3020426,0.22922203,0.010376385,0.92526746,0.34170538,0.23290707,0.017059397,0.91033,0.337773,0.22439282,0.022389922,0.9138138
37.10587,-6.5259705,3.8592062,2.0879335,-0.37340087,0.4622536,-0.18048388,-0.34000012,0.48349133,-0.16167596,-0.3927919,0.47475132,-0.13522956,-0.36592716,0.47384286,-0.1499178,0.30109802,0.22984435,0.01026999,0.9254221,0.34076872,0.23353574,0.016984342,0.9105214,0.33683482,0.22501658,0.022303531,0.914009
37.123814,4.9925985,0.3447527,6.769123,-0.37340087,0.4622536,-0.18048388,-0.3377982,0.48466754,-0.15771158,-0.39056838,0.47577438,-0.13127322,-0.36370334,0.4749457,-0.14596567,0.3015782,0.23020525,0.011414371,0.9251626,0.3412439,0.23384523,0.018141018,0.9102416,0.33729798,0.2253342,0.023463253,0.9137308
37.139187,5.8304667,0.4032142,7.9041862,-0.37340087,0.4622536,-0.18048388,-0.33559263,0.48583755,-0.15374555,-0.38834086,0.47679108,-0.1273156,-0.36147583,0.4760424,-0.14201216,0.3020581,0.23056597,0.012559156,0.92490137,0.34171882,0.23415463,0.01929805,0.90996015,0.3377609,0.22565174,0.024623366,0.91345096
37.160007,4.3209386,0.29832447,5.8583364,-0.37340087,0.4622536,-0.18048388,-0.33337697,0.4870064,-0.1497641,-0.38610294,0.47780627,-0.12334268,-0.35923797,0.47713783,-0.13804336,0.30253923,0.23092756,0.013708276,0.92463756,0.34219477,0.23446462,0.02045948,0.9096759,0.3382248,0.22596994,0.025787828,0.91316843
37.17259,-110.577576,-63.479897,-8.540585,-0.36537588,0.46716428,-0.15768327,-0.33633804,0.4857361,-0.14301477,-0.3893953,0.47717723,-0.11704491,-0.3623531,0.47615585,-0.13139613,0.29140526,0.22434346,0.012144952,0.92984164,0.33127436,0.22799885,0.018666068,0.9153826,0.32732266,0.21940835,0.023918262,0.91877526
